valuation_date,currency_pair,tenor_months,tenor_days,spot_bid,spot_ask,spot_mid,tnd_rate_bid,tnd_rate_ask,fcy_rate_bid,fcy_rate_ask,forward_bid,forward_ask,realized_future_date,realized_future_spot_bid,realized_future_spot_ask
2026-01-01,EUR_TND,1,30,3.3700,3.3900,3.3800,0.075,0.085,0.025,0.035,,,2026-02-01,3.3900,3.4100
2026-01-01,EUR_TND,2,60,3.3700,3.3900,3.3800,0.076,0.086,0.026,0.036,,,2026-03-01,3.4050,3.4250
2026-01-01,EUR_TND,3,90,3.3700,3.3900,3.3800,0.077,0.087,0.027,0.037,,,2026-04-01,3.4200,3.4400
2026-01-01,EUR_TND,6,180,3.3700,3.3900,3.3800,0.078,0.088,0.028,0.038,,,2026-07-01,3.4600,3.4800
2026-01-01,EUR_TND,9,270,3.3700,3.3900,3.3800,0.079,0.089,0.029,0.039,,,2026-10-01,3.5000,3.5200
2026-01-01,EUR_TND,12,360,3.3700,3.3900,3.3800,0.080,0.090,0.030,0.040,,,2027-01-01,3.5500,3.5700
2026-01-01,USD_TND,1,30,3.1000,3.1200,3.1100,0.075,0.085,0.040,0.050,,,2026-02-01,3.1150,3.1350
2026-01-01,USD_TND,2,60,3.1000,3.1200,3.1100,0.076,0.086,0.041,0.051,,,2026-03-01,3.1250,3.1450
2026-01-01,USD_TND,3,90,3.1000,3.1200,3.1100,0.077,0.087,0.042,0.052,,,2026-04-01,3.1400,3.1600
2026-01-01,USD_TND,6,180,3.1000,3.1200,3.1100,0.078,0.088,0.043,0.053,,,2026-07-01,3.1800,3.2000
2026-01-01,USD_TND,9,270,3.1000,3.1200,3.1100,0.079,0.089,0.044,0.054,,,2026-10-01,3.2200,3.2400
2026-01-01,USD_TND,12,360,3.1000,3.1200,3.1100,0.080,0.090,0.045,0.055,,,2027-01-01,3.2700,3.2900
