date,currency_pair,spot_bid,spot_ask,spot_mid
2025-12-24,EUR_TND,3.3500,3.3700,3.3600
2025-12-25,EUR_TND,3.3520,3.3720,3.3620
2025-12-26,EUR_TND,3.3550,3.3750,3.3650
2025-12-29,EUR_TND,3.3600,3.3800,3.3700
2025-12-30,EUR_TND,3.3650,3.3850,3.3750
2025-12-31,EUR_TND,3.3700,3.3900,3.3800
2025-12-24,USD_TND,3.0800,3.1000,3.0900
2025-12-25,USD_TND,3.0850,3.1050,3.0950
2025-12-26,USD_TND,3.0900,3.1100,3.1000
2025-12-29,USD_TND,3.0950,3.1150,3.1050
2025-12-30,USD_TND,3.0980,3.1180,3.1080
2025-12-31,USD_TND,3.1000,3.1200,3.1100
