run_id,sobol_index,prior_mode,family_drawn,regime_state_drawn,accepted,rejection_reason
20260510_232418,101024,nominal,importer,0000011,True,accepted
20260510_232418,101025,nominal,importer,0001100,True,accepted
20260510_232418,101026,nominal,importer,0001011,True,accepted
20260510_232418,101027,nominal,importer,0000100,True,accepted
20260510_232418,101028,nominal,importer,0000111,True,accepted
20260510_232418,101029,nominal,importer,0001010,True,accepted
20260510_232418,101030,nominal,importer,0001111,True,accepted
20260510_232418,101031,nominal,importer,0000010,True,accepted
20260510_232418,101032,nominal,importer,0001011,True,accepted
20260510_232418,101033,nominal,importer,0000110,True,accepted
20260510_232418,101034,nominal,importer,0000011,True,accepted
20260510_232418,101035,nominal,importer,0001110,True,accepted
20260510_232418,101036,nominal,importer,0001111,True,accepted
20260510_232418,101037,nominal,importer,0000000,True,accepted
20260510_232418,101038,nominal,importer,0000111,True,accepted
20260510_232418,101039,nominal,importer,0001000,True,accepted
20260510_232418,101040,nominal,importer,0000101,True,accepted
20260510_232418,101041,nominal,importer,0001010,True,accepted
20260510_232418,101042,nominal,importer,0001101,True,accepted
20260510_232418,101043,nominal,importer,0000010,True,accepted
20260510_232418,101044,nominal,importer,0000001,True,accepted
20260510_232418,101045,nominal,importer,0001111,True,accepted
20260510_232418,101046,nominal,importer,0001001,True,accepted
20260510_232418,101047,nominal,importer,0001000,True,accepted
20260510_232418,101048,nominal,importer,0001101,True,accepted
20260510_232418,101049,nominal,importer,0000100,True,accepted
20260510_232418,101050,nominal,importer,0000101,True,accepted
20260510_232418,101051,nominal,importer,0001100,True,accepted
20260510_232418,101052,nominal,importer,0001001,True,accepted
20260510_232418,101053,nominal,importer,0000110,True,accepted
20260510_232418,101054,nominal,importer,0000001,True,accepted
20260510_232418,101055,nominal,importer,0001110,True,accepted
20260510_232418,101056,nominal,importer,0001001,True,accepted
20260510_232418,101057,nominal,importer,0001000,True,accepted
20260510_232418,101058,nominal,importer,0000000,True,accepted
20260510_232418,101059,nominal,importer,0001111,True,accepted
20260510_232418,101060,nominal,importer,0001101,True,accepted
20260510_232418,101061,nominal,importer,0000010,True,accepted
20260510_232418,101062,nominal,importer,0000110,True,accepted
20260510_232418,101063,nominal,importer,0001011,True,accepted
20260510_232418,101064,nominal,importer,0000001,True,accepted
20260510_232418,101065,nominal,importer,0001110,True,accepted
20260510_232418,101066,nominal,importer,0001010,True,accepted
20260510_232418,101067,nominal,importer,0000111,True,accepted
20260510_232418,101068,nominal,importer,0000101,True,accepted
20260510_232418,101069,nominal,importer,0001100,True,accepted
20260510_232418,101070,nominal,importer,0001101,True,accepted
20260510_232418,101071,nominal,importer,0000100,True,accepted
20260510_232418,101072,nominal,importer,0001110,True,accepted
20260510_232418,101073,nominal,importer,0000001,True,accepted
20260510_232418,101074,nominal,importer,0000111,True,accepted
20260510_232418,101075,nominal,importer,0001010,True,accepted
20260510_232418,101076,nominal,importer,0001100,True,accepted
20260510_232418,101077,nominal,importer,0000101,True,accepted
20260510_232418,101078,nominal,importer,0000100,True,accepted
20260510_232418,101079,nominal,importer,0001100,True,accepted
20260510_232418,101080,nominal,importer,0001000,True,accepted
20260510_232418,101081,nominal,importer,0001001,True,accepted
20260510_232418,101082,nominal,importer,0001111,True,accepted
20260510_232418,101083,nominal,importer,0000000,True,accepted
20260510_232418,101084,nominal,importer,0000011,True,accepted
20260510_232418,101085,nominal,importer,0001101,True,accepted
20260510_232418,101086,nominal,importer,0001011,True,accepted
20260510_232418,101087,nominal,importer,0000110,True,accepted
20260510_232418,101088,nominal,importer,0001100,True,accepted
20260510_232418,101089,nominal,importer,0000101,True,accepted
20260510_232418,101090,nominal,importer,0000100,True,accepted
20260510_232418,101091,nominal,importer,0001101,True,accepted
20260510_232418,101092,nominal,importer,0001110,True,accepted
20260510_232418,101093,nominal,importer,0000001,True,accepted
20260510_232418,101094,nominal,importer,0000111,True,accepted
20260510_232418,101095,nominal,importer,0001010,True,accepted
20260510_232418,101096,nominal,importer,0000010,True,accepted
20260510_232418,101097,nominal,importer,0001101,True,accepted
20260510_232418,101098,nominal,importer,0001011,True,accepted
20260510_232418,101099,nominal,importer,0000110,True,accepted
20260510_232418,101100,nominal,importer,0001000,True,accepted
20260510_232418,101101,nominal,importer,0001001,True,accepted
20260510_232418,101102,nominal,importer,0001111,True,accepted
20260510_232418,101103,nominal,importer,0000000,True,accepted
20260510_232418,101104,nominal,importer,0001110,True,accepted
20260510_232418,101105,nominal,importer,0000011,True,accepted
20260510_232418,101106,nominal,importer,0000110,True,accepted
20260510_232418,101107,nominal,importer,0001011,True,accepted
20260510_232418,101108,nominal,importer,0001001,True,accepted
20260510_232418,101109,nominal,importer,0001000,True,accepted
20260510_232418,101110,nominal,importer,0000000,True,accepted
20260510_232418,101111,nominal,importer,0001111,True,accepted
20260510_232418,101112,nominal,importer,0000101,True,accepted
20260510_232418,101113,nominal,importer,0001100,True,accepted
20260510_232418,101114,nominal,importer,0001100,True,accepted
20260510_232418,101115,nominal,importer,0000011,True,accepted
20260510_232418,101116,nominal,importer,0000010,True,accepted
20260510_232418,101117,nominal,importer,0001110,True,accepted
20260510_232418,101118,nominal,importer,0001010,True,accepted
20260510_232418,101119,nominal,importer,0000111,True,accepted
20260510_232418,101120,nominal,importer,0000000,True,accepted
20260510_232418,101121,nominal,importer,0001111,True,accepted
20260510_232418,101122,nominal,importer,0001000,True,accepted
20260510_232418,101123,nominal,importer,0000111,True,accepted
20260510_232418,101124,nominal,importer,0000110,True,accepted
20260510_232418,101125,nominal,importer,0001011,True,accepted
20260510_232418,101126,nominal,importer,0001110,True,accepted
20260510_232418,101127,nominal,importer,0000011,True,accepted
20260510_232418,101128,nominal,importer,0001010,True,accepted
20260510_232418,101129,nominal,importer,0000111,True,accepted
20260510_232418,101130,nominal,importer,0000010,True,accepted
20260510_232418,101131,nominal,importer,0001111,True,accepted
20260510_232418,101132,nominal,importer,0001100,True,accepted
20260510_232418,101133,nominal,importer,0000011,True,accepted
20260510_232418,101134,nominal,importer,0000100,True,accepted
20260510_232418,101135,nominal,importer,0001011,True,accepted
20260510_232418,101136,nominal,importer,0000110,True,accepted
20260510_232418,101137,nominal,importer,0001001,True,accepted
20260510_232418,101138,nominal,importer,0001110,True,accepted
20260510_232418,101139,nominal,importer,0000001,True,accepted
20260510_232418,101140,nominal,importer,0000100,True,accepted
20260510_232418,101141,nominal,importer,0001101,True,accepted
20260510_232418,101142,nominal,importer,0001100,True,accepted
20260510_232418,101143,nominal,importer,0000101,True,accepted
20260510_232418,101144,nominal,importer,0001111,True,accepted
20260510_232418,101145,nominal,importer,0000000,True,accepted
20260510_232418,101146,nominal,importer,0001000,True,accepted
20260510_232418,101147,nominal,importer,0001001,True,accepted
20260510_232418,101148,nominal,importer,0001010,True,accepted
20260510_232418,101149,nominal,importer,0000101,True,accepted
20260510_232418,101150,nominal,importer,0000010,True,accepted
20260510_232418,101151,nominal,importer,0001101,True,accepted
20260510_232418,101152,nominal,importer,0000011,True,accepted
20260510_232418,101153,nominal,importer,0001100,True,accepted
20260510_232418,101154,nominal,importer,0001100,True,accepted
20260510_232418,101155,nominal,importer,0000101,True,accepted
20260510_232418,101156,nominal,importer,0000111,True,accepted
20260510_232418,101157,nominal,importer,0001010,True,accepted
20260510_232418,101158,nominal,importer,0001110,True,accepted
20260510_232418,101159,nominal,importer,0000010,True,accepted
20260510_232418,101160,nominal,importer,0001011,True,accepted
20260510_232418,101161,nominal,importer,0000110,True,accepted
20260510_232418,101162,nominal,importer,0000011,True,accepted
20260510_232418,101163,nominal,importer,0001110,True,accepted
20260510_232418,101164,nominal,importer,0001111,True,accepted
20260510_232418,101165,nominal,importer,0000000,True,accepted
20260510_232418,101166,nominal,importer,0001000,True,accepted
20260510_232418,101167,nominal,importer,0001001,True,accepted
20260510_232418,101168,nominal,importer,0000110,True,accepted
20260510_232418,101169,nominal,importer,0001011,True,accepted
20260510_232418,101170,nominal,importer,0001101,True,accepted
20260510_232418,101171,nominal,importer,0000010,True,accepted
20260510_232418,101172,nominal,importer,0000000,True,accepted
20260510_232418,101173,nominal,importer,0001111,True,accepted
20260510_232418,101174,nominal,importer,0001001,True,accepted
20260510_232418,101175,nominal,importer,0001000,True,accepted
20260510_232418,101176,nominal,importer,0001101,True,accepted
20260510_232418,101177,nominal,importer,0000100,True,accepted
20260510_232418,101178,nominal,importer,0000101,True,accepted
20260510_232418,101179,nominal,importer,0001100,True,accepted
20260510_232418,101180,nominal,importer,0001010,True,accepted
20260510_232418,101181,nominal,importer,0000111,True,accepted
20260510_232418,101182,nominal,importer,0000001,True,accepted
20260510_232418,101183,nominal,importer,0001110,True,accepted
20260510_232418,101184,nominal,importer,0001001,True,accepted
20260510_232418,101185,nominal,importer,0001000,True,accepted
20260510_232418,101186,nominal,importer,0000001,True,accepted
20260510_232418,101187,nominal,importer,0001111,True,accepted
20260510_232418,101188,nominal,importer,0001101,True,accepted
20260510_232418,101189,nominal,importer,0000010,True,accepted
20260510_232418,101190,nominal,importer,0000101,True,accepted
20260510_232418,101191,nominal,importer,0001010,True,accepted
20260510_232418,101192,nominal,importer,0000001,True,accepted
20260510_232418,101193,nominal,importer,0001110,True,accepted
20260510_232418,101194,nominal,importer,0001001,True,accepted
20260510_232418,101195,nominal,importer,0000110,True,accepted
20260510_232418,101196,nominal,importer,0000101,True,accepted
20260510_232418,101197,nominal,importer,0001100,True,accepted
20260510_232418,101198,nominal,importer,0001101,True,accepted
20260510_232418,101199,nominal,importer,0000100,True,accepted
20260510_232418,101200,nominal,importer,0001110,True,accepted
20260510_232418,101201,nominal,importer,0000010,True,accepted
20260510_232418,101202,nominal,importer,0000111,True,accepted
20260510_232418,101203,nominal,importer,0001010,True,accepted
20260510_232418,101204,nominal,importer,0001011,True,accepted
20260510_232418,101205,nominal,importer,0000100,True,accepted
20260510_232418,101206,nominal,importer,0000011,True,accepted
20260510_232418,101207,nominal,importer,0001100,True,accepted
20260510_232418,101208,nominal,importer,0000111,True,accepted
20260510_232418,101209,nominal,importer,0001000,True,accepted
20260510_232418,101210,nominal,importer,0001111,True,accepted
20260510_232418,101211,nominal,importer,0000000,True,accepted
20260510_232418,101212,nominal,importer,0000011,True,accepted
20260510_232418,101213,nominal,importer,0001110,True,accepted
20260510_232418,101214,nominal,importer,0001011,True,accepted
20260510_232418,101215,nominal,importer,0000110,True,accepted
20260510_232418,101216,nominal,importer,0001100,True,accepted
20260510_232418,101217,nominal,importer,0000101,True,accepted
20260510_232418,101218,nominal,importer,0000100,True,accepted
20260510_232418,101219,nominal,importer,0001101,True,accepted
20260510_232418,101220,nominal,importer,0001110,True,accepted
20260510_232418,101221,nominal,importer,0000001,True,accepted
20260510_232418,101222,nominal,importer,0000110,True,accepted
20260510_232418,101223,nominal,importer,0001010,True,accepted
20260510_232418,101224,nominal,importer,0000010,True,accepted
20260510_232418,101225,nominal,importer,0001101,True,accepted
20260510_232418,101226,nominal,importer,0001010,True,accepted
20260510_232418,101227,nominal,importer,0000101,True,accepted
20260510_232418,101228,nominal,importer,0001000,True,accepted
20260510_232418,101229,nominal,importer,0001001,True,accepted
20260510_232418,101230,nominal,importer,0001111,True,accepted
20260510_232418,101231,nominal,importer,0000001,True,accepted
20260510_232418,101232,nominal,importer,0001110,True,accepted
20260510_232418,101233,nominal,importer,0000011,True,accepted
20260510_232418,101234,nominal,importer,0000110,True,accepted
20260510_232418,101235,nominal,importer,0001011,True,accepted
20260510_232418,101236,nominal,importer,0001000,True,accepted
20260510_232418,101237,nominal,importer,0000111,True,accepted
20260510_232418,101238,nominal,importer,0000000,True,accepted
20260510_232418,101239,nominal,importer,0001111,True,accepted
20260510_232418,101240,nominal,importer,0000100,True,accepted
20260510_232418,101241,nominal,importer,0001011,True,accepted
20260510_232418,101242,nominal,importer,0001100,True,accepted
20260510_232418,101243,nominal,importer,0000011,True,accepted
20260510_232418,101244,nominal,importer,0000010,True,accepted
20260510_232418,101245,nominal,importer,0001111,True,accepted
20260510_232418,101246,nominal,importer,0001010,True,accepted
20260510_232418,101247,nominal,importer,0000111,True,accepted
20260510_232418,101248,nominal,importer,0000000,True,accepted
20260510_232418,101249,nominal,importer,0001111,True,accepted
20260510_232418,101250,nominal,importer,0001001,True,accepted
20260510_232418,101251,nominal,importer,0001000,True,accepted
20260510_232418,101252,nominal,importer,0000110,True,accepted
20260510_232418,101253,nominal,importer,0001011,True,accepted
20260510_232418,101254,nominal,importer,0001110,True,accepted
20260510_232418,101255,nominal,importer,0000011,True,accepted
20260510_232418,101256,nominal,importer,0001010,True,accepted
20260510_232418,101257,nominal,importer,0000111,True,accepted
20260510_232418,101258,nominal,importer,0000001,True,accepted
20260510_232418,101259,nominal,importer,0001110,True,accepted
20260510_232418,101260,nominal,importer,0001100,True,accepted
20260510_232418,101261,nominal,importer,0000100,True,accepted
