run_id,family,prior_label,regime_state,g_NR,g_PAE,g_TE,g_AEO,g_ACC,g_EXT,g_CIRC,score,probability
20260511_090143,importer,author_calibrated,0000000,0,0,0,0,0,0,0,1.0,0.05162795860470279
20260511_090143,importer,author_calibrated,0000001,0,0,0,0,0,0,1,0.95,0.049046560674467644
20260511_090143,importer,author_calibrated,0000010,0,0,0,0,0,1,0,1.1,0.05679075446517307
20260511_090143,importer,author_calibrated,0000011,0,0,0,0,0,1,1,1.045,0.05395121674191441
20260511_090143,importer,author_calibrated,0000100,0,0,0,0,1,0,0,1.15,0.059372152395408204
20260511_090143,importer,author_calibrated,0000101,0,0,0,0,1,0,1,1.0924999999999998,0.05640354477563779
20260511_090143,importer,author_calibrated,0000110,0,0,0,0,1,1,0,1.265,0.06530936763494902
20260511_090143,importer,author_calibrated,0000111,0,0,0,0,1,1,1,1.2017499999999999,0.06204389925320157
20260511_090143,importer,author_calibrated,0001000,0,0,0,1,0,0,0,1.2,0.06195355032564334
20260511_090143,importer,author_calibrated,0001001,0,0,0,1,0,0,1,1.14,0.05885587280936117
20260511_090143,importer,author_calibrated,0001010,0,0,0,1,0,1,0,1.32,0.06814890535820768
20260511_090143,importer,author_calibrated,0001011,0,0,0,1,0,1,1,1.254,0.0647414600902973
20260511_090143,importer,author_calibrated,0001100,0,0,0,1,1,0,0,1.38,0.07124658287448984
20260511_090143,importer,author_calibrated,0001101,0,0,0,1,1,0,1,1.311,0.06768425373076535
20260511_090143,importer,author_calibrated,0001110,0,0,0,1,1,1,0,1.518,0.07837124116193883
20260511_090143,importer,author_calibrated,0001111,0,0,0,1,1,1,1,1.4421,0.07445267910384189
20260511_090143,exporter,author_calibrated,0000000,0,0,0,0,0,0,0,1.0,0.04580266286834345
20260511_090143,exporter,author_calibrated,0000010,0,0,0,0,0,1,0,1.1,0.050382929155177794
20260511_090143,exporter,author_calibrated,0000100,0,0,0,0,1,0,0,1.15,0.052673062298594954
20260511_090143,exporter,author_calibrated,0000110,0,0,0,0,1,1,0,1.265,0.05794036852845445
20260511_090143,exporter,author_calibrated,0001000,0,0,0,1,0,0,0,1.2,0.05496319544201213
20260511_090143,exporter,author_calibrated,0001010,0,0,0,1,0,1,0,1.32,0.060459514986213346
20260511_090143,exporter,author_calibrated,0001100,0,0,0,1,1,0,0,1.38,0.06320767475831394
20260511_090143,exporter,author_calibrated,0001110,0,0,0,1,1,1,0,1.518,0.06952844223414535
20260511_090143,exporter,author_calibrated,0100100,0,1,0,0,1,0,0,0.9774999999999999,0.044772102953805716
20260511_090143,exporter,author_calibrated,0100110,0,1,0,0,1,1,0,1.07525,0.04924931324918629
20260511_090143,exporter,author_calibrated,0101100,0,1,0,1,1,0,0,1.1729999999999998,0.05372652354456685
20260511_090143,exporter,author_calibrated,0101110,0,1,0,1,1,1,0,1.2903,0.05909917589902355
20260511_090143,exporter,author_calibrated,0110100,0,1,1,0,1,0,0,0.6842499999999999,0.031340472067664
20260511_090143,exporter,author_calibrated,0110110,0,1,1,0,1,1,0,0.752675,0.034474519274430404
20260511_090143,exporter,author_calibrated,0111100,0,1,1,1,1,0,0,0.8210999999999999,0.0376085664811968
20260511_090143,exporter,author_calibrated,0111110,0,1,1,1,1,1,0,0.90321,0.04136942312931648
20260511_090143,exporter,author_calibrated,1100100,1,1,0,0,1,0,0,0.537625,0.024624656624593146
20260511_090143,exporter,author_calibrated,1100110,1,1,0,0,1,1,0,0.5913875000000001,0.02708712228705246
20260511_090143,exporter,author_calibrated,1101100,1,1,0,1,1,0,0,0.64515,0.029549587949511773
20260511_090143,exporter,author_calibrated,1101110,1,1,0,1,1,1,0,0.7096650000000001,0.03250454674446295
20260511_090143,exporter,author_calibrated,1110100,1,1,1,0,1,0,0,0.37633749999999994,0.0172372596372152
20260511_090143,exporter,author_calibrated,1110110,1,1,1,0,1,1,0,0.41397124999999996,0.01896098560093672
20260511_090143,exporter,author_calibrated,1111100,1,1,1,1,1,0,0,0.451605,0.02068471156465824
20260511_090143,exporter,author_calibrated,1111110,1,1,1,1,1,1,0,0.4967655,0.022753182721124067
20260511_090143,processor,author_calibrated,0000000,0,0,0,0,0,0,0,1.0,0.023488545060688943
20260511_090143,processor,author_calibrated,0000001,0,0,0,0,0,0,1,0.95,0.022314117807654497
20260511_090143,processor,author_calibrated,0000010,0,0,0,0,0,1,0,1.1,0.025837399566757843
20260511_090143,processor,author_calibrated,0000011,0,0,0,0,0,1,1,1.045,0.024545529588419945
20260511_090143,processor,author_calibrated,0000100,0,0,0,0,1,0,0,1.15,0.027011826819792285
20260511_090143,processor,author_calibrated,0000101,0,0,0,0,1,0,1,1.0924999999999998,0.02566123547880267
20260511_090143,processor,author_calibrated,0000110,0,0,0,0,1,1,0,1.265,0.029713009501771512
20260511_090143,processor,author_calibrated,0000111,0,0,0,0,1,1,1,1.2017499999999999,0.028227359026682938
20260511_090143,processor,author_calibrated,0001000,0,0,0,1,0,0,0,1.2,0.02818625407282673
20260511_090143,processor,author_calibrated,0001001,0,0,0,1,0,0,1,1.14,0.026776941369185393
20260511_090143,processor,author_calibrated,0001010,0,0,0,1,0,1,0,1.32,0.03100487948010941
20260511_090143,processor,author_calibrated,0001011,0,0,0,1,0,1,1,1.254,0.029454635506103936
20260511_090143,processor,author_calibrated,0001100,0,0,0,1,1,0,0,1.38,0.03241419218375074
20260511_090143,processor,author_calibrated,0001101,0,0,0,1,1,0,1,1.311,0.030793482574563203
20260511_090143,processor,author_calibrated,0001110,0,0,0,1,1,1,0,1.518,0.035655611402125816
20260511_090143,processor,author_calibrated,0001111,0,0,0,1,1,1,1,1.4421,0.03387283083201952
